,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta
MMM,9.1049,22.99311359817241,0.1375051041241323,2.720702327480604,3.921500521014241,0.025985192261762602,1.15
AOS,2.6145,20.340409256071908,0.07355853232382062,0.7888759464181713,1.1098755994162208,0.01429108687476495,1.35
ACN,6.64,24.322289156626507,0.10053903916883353,1.0766621215668037,1.6119062073985526,0.01647058823529412,1.26
ATVI,2.38,17.43697478991597,0.057233424319802766,0.5703971119133574,1.3092178635504048,0.00819277108433735,0.92
AYI,8.85,14.76045197740113,0.04546233365697641,0.7221428979382032,3.303920585581069,0.00398070887238766,1.33
ADBE,5.28,49.0340909090909,0.07244517637789927,1.0594888077628621,2.2717529924588806,,1.06
AAP,5.7408,28.126741917502788,0.015050356073383758,1.5460783206550162,1.8072415236500627,0.0014863442125472223,1.3
AMD,0.34,71.6470588235294,0.030015797788309637,2.598736176935229,0.06963095593355217,,4.21
AES,0.5147,34.058674956285216,0.023422562141491396,6.190487571701721,1.1580907055293923,0.02966343411294923,0.81
A,3.5762,21.928303786141715,0.10007942811755362,0.7776012708498808,0.6706211273991235,0.007791379750063759,1.23
APD,7.6993,23.394334549894147,0.03193082726111606,0.7294563030074704,2.983185433750245,0.024428159005107707,0.65
AKAM,1.8,38.81111111111111,0.02945461267098181,0.7111558777640623,1.755552147239264,,0.1
ALK,3.5458,17.59828529527892,0.006131698213809651,2.0722474006931484,1.6975860164397805,0.020512820512820513,1.23
ALB,6.38,13.978056426332289,0.03614627532653283,1.0661712019649008,1.5936858557896918,0.015025790535994617,1.11
ARE,3.5426,38.593123694461696,-0.0035882764355319044,0.8948887661545649,1.3860886381378186,0.027282036278525455,0.99
ALXN,0.3497,370.9751215327423,-0.004909822919053386,0.5200702650213305,0.4072153184558037,,1.54
ALGN,5.0,50.798,0.0777338172275162,0.638177622794002,3.0167908581716345,,2.59
ALLE,4.5794,19.587718915141725,0.20305810397656474,3.296941896024464,1.9985548987753818,0.009364548494983277,1.06
AGN,-15.32,,-0.0660363884319986,0.5629594818940905,4.505522918458032,0.021068032187271397,1.37
ADS,17.5957,9.892189569042436,0.12216457270271429,12.030187384760517,13.391709806513198,0.013098931402964495,2.0
LNT,2.2347,20.44122253546337,0.04362317625356364,2.200947509642797,2.1486244905912955,0.028896672504378284,0.37
ALL,5.99,15.787979966611017,-0.012621996996996997,4.320899024024024,4.087804966216114,0.019456487258115683,0.67
GOOGL,44.2084,25.256738538377324,0.05037494088769789,0.3105591460805729,43.382549438802776,,1.21
GOOG,44.2084,25.116719899385636,0.05037494088769789,0.3105591460805729,37.181032434274,,1.18
AMZN,20.6657,78.95014444224003,0.06950791062940595,2.734827435762015,33.54417623670865,,1.71
AEE,3.3384,21.621135873472323,0.008911020836063425,2.547765692569781,1.9795501022494888,0.025595732889997225,0.32
AEP,3.9761,20.552802997912526,0.030373143746581968,2.548804215220226,3.90542456130389,0.030347528144884974,0.24
AXP,7.9235,13.559664289770934,0.08945715567519066,7.4612830865859125,-1.4845221960968449,0.013775130305286671,1.08
AIG,-0.04,,-0.011036000070971061,7.712336544773868,0.11386037267995114,0.02985770935386051,1.37
AMT,2.66,66.40225563909775,0.06857046741547834,4.895378174818248,1.7101487441201577,0.017041272716978993,0.35
AWK,3.1582,31.97390918877842,0.019099590723055934,2.7885402455661663,2.179782243073382,0.018023370964547435,0.32
ABC,5.51,15.5480943738657,0.1291317268135674,11.84308565688892,2.2690226917428586,0.017975954243025564,1.41
AMGN,12.6884,14.777276882822106,0.15424,4.31328,5.132754170965389,0.02816,0.97
APH,4.0,23.585,0.08416728902165796,1.4888473985561363,1.268757107824226,0.009327962688149246,0.9
APC,1.2049,36.26027056187235,0.012005649717514125,3.4643361581920904,3.25676173395039,0.024032959487296866,1.63
ADI,4.25,24.919999999999998,0.03055292605708356,0.8841134779810205,1.0093751527229484,0.018128599754508545,1.33
ANSS,3.78,46.423280423280424,0.03505371297987166,0.19915865752472195,1.3159526089037816,,1.59
ANTM,14.54,21.78748280605227,0.014855821449844084,1.5076556532707333,1.7901191608478129,0.00946999589633511,1.21
AON,4.2738,40.25925405961908,0.06552637918573838,5.348831606841725,2.9625123438014325,0.009066604672788562,0.72
APA,2.3,14.552173913043479,0.010641093011035208,1.697845507094062,2.65054907994857,0.02987750224081267,2.26
AAPL,12.27,14.096984515077425,0.16934991348013437,2.1700115359820855,5.6603213382874396,0.016303405214777127,0.99
AMAT,3.99,9.882205513784461,0.09392130588378608,1.3050310634669264,0.8743458132045089,0.020289119959421762,1.53
APTV,4.0341,20.41595399221636,0.07140792136455623,2.5469788956345765,2.9111465764224045,0.010684798445847498,1.85
ADM,3.2122,13.22769441504265,0.016595542911332386,1.1478847268320953,-1.9711153048890444,0.03153683219581078,0.87
ARNC,1.3246,13.800392571342293,0.03911717207966984,2.3520545487170286,0.8814929925445557,0.01312910284463895,2.4
AJG,3.48,23.160919540229884,0.026073040076463137,2.614928093533975,1.415299358904705,0.020347394540942927,0.67
T,2.8825,10.806591500433651,0.0263894094704192,1.8359597803236478,1.658884921724801,0.06452648475120384,0.81
ADSK,-1.46,,0.0700561631687851,-12.156961276973101,0.17898807811551123,,1.39
ADP,4.15,36.910843373493975,0.1171729045529923,7.1459098637670815,1.7957900052797098,0.018279148713931322,1.02
AZO,53.18,17.14291086874765,-0.21186700236823955,-6.741884197427253,17.821146597897243,,0.7
AVY,,,0.1016647471468956,4.420898335252852,3.1161342405720216,0.018795586310080416,1.57
BHGE,0.43,61.27906976744187,0.0075007157171485825,0.9977669624964214,2.1211985453525495,0.027324478178368118,0.83
BLL,1.32,41.86363636363636,0.042391914654688376,3.647389107243122,1.5890751818297066,0.007238508867173363,0.53
BDX,3.34,74.74850299401197,0.027985423285367222,1.4730424219772005,0.9142840152677998,0.012096451173596092,1.32
BRK.B,25.1233,8.036762686430524,0.049360233862078884,0.9505705446664856,7.678365705647972,,N/A
BBY,3.8846,15.558873500489112,0.09196547144754316,3.9800796812749004,-0.003716063054157903,0.02796161482461946,1.19
BIIB,21.64,15.033733826247689,0.07260958925120402,0.9400058283996442,9.635553025026816,,1.74
HRB,2.6794,9.360304545793834,5.631923383878691,-72.29436552274541,-1.2267330971935697,0.03907496012759171,-0.14
BA,18.07,23.467072495849475,10.094395280235988,344.98230088495575,5.216067683212828,0.01613017332861691,1.33
BKNG,58.88,32.447690217391305,0.17761372051918195,1.4488486014101958,42.39086984675156,,0.55
BWA,4.4696,9.325219258994094,0.05443142823334517,1.3609040350254409,2.745292511831912,0.0163147792706334,1.65
BSX,1.21,33.48760330578513,0.044235617694247074,1.406486362594545,0.013708909348033132,,0.89
AVGO,29.5163,9.367705301816285,0.041827662527700045,0.8803316202123269,6.384955585561746,0.02531645569620253,0.46
BF.B,1.56,31.30769230769231,0.16633266533066132,2.4395457581830327,0.47410447833894576,0.01294021294021294,N/A
CHRW,4.7873,19.204979842499945,0.11732902343257766,1.77565549716097,1.9200386897835697,0.02044811833804655,0.82
COG,0.53,45.77358490566038,0.05841853508851098,0.9955824495606088,0.5616958114940396,0.009480626545754328,0.74
CDNS,1.2634,44.77600126642393,0.07639314157626391,0.9160602948926615,0.4674383820912873,,1.03
CPB,0.5945,55.2228763666947,0.1379800853485064,9.368421052631579,0.7640459889246551,0.042643923240938165,0.64
COF,11.8836,6.832946245245549,0.024231632732058528,6.210226832855926,8.464827881120376,0.019704433497536946,1.28
CAH,-0.0693,,0.0463346020188648,5.695680953168956,1.2448954254287508,0.03444990892531876,1.49
