,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta
NWSA,-2.2446,,0.010254749568221071,0.6253238341968912,0.6358268993706612,0.015408320493066256,1.33
NWS,-2.2446,,0.010254749568221071,0.6253238341968912,1.2272704503331162,0.01514004542013626,1.36
NEE,14.11,13.33309709425939,0.01235941893158388,1.9277471883786317,4.193086948520185,0.023600701642481264,0.19
NLSN,0.9,29.0,0.02389843166542196,3.0918595967139657,1.0901930514982408,0.0528735632183908,1.14
NKE,1.37,61.86861313868613,0.09703287890938252,1.597892083858403,1.2107056888867704,0.009674374705049551,0.85
NI,-0.1192,,-0.002034464170825436,3.052739571197552,-1.039211369847568,0.02927927927927928,0.44
NBL,-0.16,,-0.08741778060683217,1.1812009335879483,1.1724237558176296,0.018566493955094993,1.59
JWN,2.7856,15.809879379666857,0.05569409808811305,6.239401496259352,0.28686859027993594,0.033605812897366034,0.52
NSC,9.59,19.113660062565174,0.04556698346569457,1.3834136180184873,3.148193153988522,0.0165848336061102,1.43
NOC,18.5842,15.535239612143648,0.08024917552216929,3.599120556980579,14.003935477029303,0.016279311419763777,0.98
NCLH,4.29,12.902097902097902,0.02593224451916074,1.5500532366169317,1.614130632432629,,2.17
NRG,-2.6941,,-0.3173076923076923,-13.212606837606838,1.9246024902562688,0.0028422548555187117,0.53
NUE,7.4707,8.190664864068962,0.06605125081724227,0.7882514824738936,1.611608326161438,0.025167511031214253,1.72
ORLY,16.27,23.601106330669946,0.8492649865551494,21.565828872922832,4.8774859571884015,,0.89
OXY,5.3998,12.209711470795217,0.03309892170651664,1.0559774964838256,3.311144251986024,0.047019566206582736,1.07
OMC,5.8674,12.889866039472338,0.15672725845078717,8.349024380668212,8.766110393355119,0.03173343911146371,0.28
OKE,2.245,30.23162583518931,0.047087087791258905,1.6923140748543686,1.2628931765529547,0.04619124797406807,1.36
ORCL,1.07,49.04672897196261,0.07631165772602382,2.854343844040298,0.15213490409371064,0.014481707317073171,1.1
PCAR,6.246,11.189561319244316,0.06727647243654646,1.9655180439665305,3.0729948066935946,0.016597510373443983,1.4
PH,10.641,16.518184381167185,0.05360718763504459,1.6313293296939113,2.950195184168824,0.016726403823178016,1.67
PAYX,2.7,28.107407407407404,0.09725716642606723,1.88818313054238,0.6224049057202771,0.02872578732375807,1.07
PYPL,1.74,55.16091954022989,0.03795658390744833,1.816326530612245,0.9665788733474826,,0.75
PNR,1.9736,21.81293068504256,0.05059637274658243,1.0731441642612058,0.901589598748862,0.02439024390243903,1.21
PEP,8.85,13.193220338983052,0.47210359553657527,4.3426091748174676,3.3338316639258485,0.03072541966426858,0.57
PKI,,,0.027579590360373777,1.3116348253644647,1.433121477179766,0.0029920923274203894,1.42
PRGO,0.8587,56.993129148713166,-0.011926216474080356,0.9334075409025054,1.0599380230683733,0.01491622394769105,1.89
PCG,0.2609,71.94327328478343,0.029160666529520676,2.6583521909072205,2.859214072808739,,-0.78
PSX,11.977,8.128913751356768,0.08249548852797113,0.41100430891614187,9.076754385964913,0.03184059161873459,0.89
PNW,4.5181,20.632566786923707,0.05884146136448711,2.2762548070708677,5.031771948608137,0.029821926625187727,0.21
PXD,5.7031,24.921533902614367,0.026587399884402608,0.4782429196598134,5.3618988396240805,,1.34
RL,5.4274,23.421896303939274,0.03577924207638868,0.8163928560779987,8.913369105629396,0.01868313404657017,0.98
PPL,2.5962,12.187042600724135,0.03560092648194218,2.7227417002659347,0.8475081733910175,0.051833122629582805,0.65
PFG,5.4,9.79074074074074,0.020763827919227394,20.297532923617208,5.183354053335441,0.0397200680915453,1.36
PG,4.21,23.81235154394299,0.059159103537692166,1.282533802556029,1.6017876701924383,0.028341147132169578,0.23
PGR,5.0,14.453999999999999,0.07828785374574156,2.822165817789321,2.9426271621853055,0.009420229694202297,0.7
PLD,2.87,24.954703832752614,0.026821127708095936,0.5658230952754569,0.8402332037756801,0.02680815414688634,1.22
PRU,9.6336,9.862356751370205,0.017092786473867166,15.756772322438653,27.86308068459658,0.03789074834227976,1.43
PEG,4.35,13.172413793103448,0.02869280590570374,2.1390068946305454,1.6994757147096646,0.03106457242582897,0.54
PSA,7.43,27.071332436069987,0.04235583424610271,0.20549739176361434,3.9707336376775024,0.03977329223426469,0.31
PHM,3.5602,7.859109038818044,0.04879486037350798,1.1115475959684353,1.568740934250312,0.013581129378127233,0.66
PVH,9.0615,12.980190917618495,0.042790255579807084,1.0823769626135324,-0.07922360863537334,0.0012752933174630164,1.65
QRVO,0.4781,141.8113365404727,0.015187271154299896,0.26849138797374883,2.7137854368062286,,0.95
QCOM,1.5949,33.306163395824186,0.2952723251313243,8.468067459220348,0.29413951797473376,0.04574548192771085,0.75
PWR,2.2664,16.096011295446523,0.032580938982708564,0.8807481810538718,0.2677787593045312,,1.42
DGX,5.3944,16.276138217410647,0.02415644171779141,1.084930981595092,2.167969898289141,0.023120728929384965,0.96
RRC,0.9646,10.999377980510054,0.008242500629159155,1.0398054901184195,0.9195487064387488,0.007540056550424129,1.71
RJF,6.79,12.306332842415317,0.04053394107113788,5.261110206739378,1.5811341624243112,0.01424126376256582,1.41
RTN,10.1496,18.385946244186965,0.07252440725244072,1.7417189679218967,8.616810575434295,0.018594930603933336,1.1
RHT,1.5973,114.46190446378264,0.06634443897330136,2.5845060974367655,0.7735234215885947,,-0.06
REG,1.3439,49.02150457623334,0.010210847693537594,0.6917570600178683,0.9862549647964212,0.03331815421979356,0.7
REGN,22.64,18.662544169611305,0.09368184257705,0.3399677982939947,6.788284931915132,,0.97
RSG,3.18,24.411949685534587,0.03797101083624529,1.7266717967478649,1.5419009004527138,0.01854952982094551,0.55
RMD,3.149,32.14988885360432,0.0637199367703385,0.9732766747578275,0.9034752267969294,0.014223627024891347,0.47
RHI,3.6057,18.93113681116011,0.10681359445747639,0.7899742098837657,1.0333142981911017,0.016407852329329037,1.57
ROK,6.8967,25.987791262487853,0.06293651416463941,3.6577728949227026,1.773405607976979,0.020336997154494225,1.44
ROP,9.1365,34.716795271712364,0.033223492924985464,0.9706015377657169,4.487049337239319,0.005359563668463697,1.07
ROST,4.2885,22.00536318059928,0.10608431385530015,0.956525913484814,1.176203287199566,0.008848150895411676,0.81
RCL,8.62,14.029002320185617,0.02842772578283783,1.4453059625350086,3.503201018201305,0.02150004134623336,1.97
CRM,1.0982,146.8858131487889,0.007146260123868509,0.809569182603961,0.1869281045751634,,1.05
SBAC,-0.02,,-0.005133091877066519,-3.2936828694187086,1.7568411856584394,,0.62
SLB,1.54,28.805194805194805,0.014877495713732647,0.9380288700846192,1.6855151269740267,0.04508566275924256,1.6
STX,5.86,8.022184300341296,0.19855222337125128,3.544467425025853,1.0222190672251013,0.053605615826419914,1.88
