,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta,cluster
MMM,9.1049,22.99311359817241,0.1375051041241323,2.720702327480604,3.921500521014241,0.0259851922617626,1.15,1
AOS,2.6145,20.340409256071908,0.07355853232382062,0.7888759464181713,1.1098755994162208,0.01429108687476495,1.35,1
ACN,6.64,24.32228915662651,0.10053903916883353,1.0766621215668035,1.6119062073985526,0.01647058823529412,1.26,1
ATVI,2.38,17.436974789915972,0.057233424319802766,0.5703971119133574,1.3092178635504048,0.00819277108433735,0.92,10
AYI,8.85,14.76045197740113,0.04546233365697641,0.7221428979382032,3.303920585581069,0.00398070887238766,1.33,19
ADBE,5.28,49.0340909090909,0.07244517637789928,1.059488807762862,2.2717529924588806,0.0,1.06,11
AAP,5.7408,28.12674191750279,0.01505035607338376,1.5460783206550162,1.8072415236500627,0.0014863442125472226,1.3,16
AMD,0.34,71.6470588235294,0.030015797788309637,2.598736176935229,0.06963095593355217,0.0,4.21,5
AES,0.5147,34.058674956285216,0.0234225621414914,6.1904875717017225,1.1580907055293923,0.029663434112949232,0.81,16
A,3.5762,21.928303786141715,0.10007942811755363,0.7776012708498808,0.6706211273991235,0.0077913797500637596,1.23,1
APD,7.6993,23.394334549894147,0.03193082726111606,0.7294563030074704,2.983185433750245,0.02442815900510771,0.65,1
AKAM,1.8,38.81111111111111,0.029454612670981813,0.7111558777640623,1.7555521472392643,0.0,0.1,11
ALK,3.5458,17.59828529527892,0.006131698213809651,2.0722474006931484,1.6975860164397805,0.020512820512820516,1.23,10
ALB,6.38,13.978056426332287,0.036146275326532834,1.0661712019649008,1.5936858557896918,0.015025790535994616,1.11,19
ARE,3.5426,38.593123694461696,-0.003588276435531905,0.8948887661545649,1.3860886381378186,0.027282036278525452,0.99,11
ALXN,0.3497,370.9751215327423,-0.004909822919053386,0.5200702650213305,0.4072153184558037,0.0,1.54,2
ALGN,5.0,50.798,0.0777338172275162,0.638177622794002,3.0167908581716345,0.0,2.59,11
ALLE,4.5794,19.587718915141725,0.20305810397656476,3.296941896024464,1.9985548987753816,0.009364548494983277,1.06,1
AGN,-15.32,0.0,-0.0660363884319986,0.5629594818940905,4.505522918458032,0.0210680321872714,1.37,17
ADS,17.5957,9.892189569042436,0.12216457270271427,12.030187384760517,13.391709806513198,0.013098931402964495,2.0,0
LNT,2.2347,20.44122253546337,0.043623176253563635,2.2009475096427966,2.1486244905912955,0.02889667250437828,0.37,1
ALL,5.99,15.787979966611015,-0.012621996996996995,4.320899024024024,4.0878049662161136,0.019456487258115683,0.67,19
GOOGL,44.2084,25.256738538377324,0.05037494088769789,0.3105591460805729,43.382549438802776,0.0,1.21,8
GOOG,44.2084,25.116719899385643,0.05037494088769789,0.3105591460805729,37.181032434274,0.0,1.18,8
AMZN,20.6657,78.95014444224003,0.06950791062940595,2.734827435762015,33.54417623670865,0.0,1.71,14
AEE,3.3384,21.621135873472323,0.008911020836063425,2.5477656925697807,1.9795501022494888,0.025595732889997225,0.32,1
AEP,3.9761,20.55280299791253,0.030373143746581968,2.548804215220226,3.9054245613038905,0.030347528144884974,0.24,1
AXP,7.9235,13.559664289770934,0.08945715567519066,7.461283086585912,-1.4845221960968449,0.013775130305286673,1.08,19
AIG,-0.04,0.0,-0.01103600007097106,7.712336544773867,0.11386037267995115,0.029857709353860513,1.37,18
AMT,2.66,66.40225563909775,0.06857046741547834,4.895378174818248,1.7101487441201575,0.01704127271697899,0.35,5
AWK,3.1582,31.97390918877842,0.01909959072305593,2.7885402455661663,2.1797822430733818,0.01802337096454744,0.32,16
ABC,5.51,15.5480943738657,0.1291317268135674,11.843085656888919,2.269022691742858,0.017975954243025564,1.41,10
